observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2765532,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,25999,https://doi.org/10.15454/VRBLKL,CF00191,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"77,8",
2,2765466,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49530,gnpis_pui:holding-921_taxon-4898_accession-49530,EM00014,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"100,1",
1,2765463,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49530,gnpis_pui:holding-921_taxon-4898_accession-49530,EM00014,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"76,6",
1,2765465,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49530,gnpis_pui:holding-921_taxon-4898_accession-49530,EM00014,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"103,3",
2,2765464,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49530,gnpis_pui:holding-921_taxon-4898_accession-49530,EM00014,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"78,5",
2,2765392,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48960,gnpis_pui:holding-921_taxon-4898_accession-48960,DI00017,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"74,5",
1,2765391,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48960,gnpis_pui:holding-921_taxon-4898_accession-48960,DI00017,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"91,7",
2,2765394,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48960,gnpis_pui:holding-921_taxon-4898_accession-48960,DI00017,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"94,8",
1,2765393,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48960,gnpis_pui:holding-921_taxon-4898_accession-48960,DI00017,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"102,9",
2,2765418,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49106,gnpis_pui:holding-921_taxon-4898_accession-49106,CF00190,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"108,3",
