observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2820016,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,25",,"66,1",,,,"73,75",
2,2820017,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"12,28",,"65,3",,,,"71,27",
2,2819921,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"12,23",,"74,4",,,,"84,48",
1,2819920,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,76",,"75,3",,,,"82,29",
2,2819919,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,68",,68,,"2,5",,"53,93",
1,2819918,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,48",,"64,2",,"1,5",,"51,85",
2,2819965,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"12,34",,"80,2",,,,"80,67",
1,2819964,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"13,28",,"80,6",,,,"83,9",
2,2819963,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,32",,"72,2",,"2,2",,"62,83",
1,2819962,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,35",,"74,4",,1,,"62,87",
1,2819908,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"10,91",,"78,8",,,,"87,14",
2,2819907,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,06",,"62,8",,9,,"49,01",
1,2819906,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,25",,"62,5",,7,,"45,68",
2,2819909,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,07",,"79,4",,,,"90,21",
2,2819969,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,73",,"73,1",,,,"81,52",
2,2819967,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,48",,"71,5",,"3,5",,"55,46",
1,2819968,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,73",,70,,,,"79,42",
1,2819966,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,84",,"71,7",,3,,"55,77",
1,2819894,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,73",,"73,2",,"1,5",,"57,35",
