observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF03104itkt,2797760,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,03",,"101,3",,"111,3",,1,
EM03017itkfi,2797777,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48881,gnpis_pui:holding-921_taxon-4898_accession-48881,EM03017,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,49",,"98,6",,"84,3",,1,
Apacheitkfi,2797769,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,42",,"100,5",,"85,9",,1,
CF03104itkfi,2797759,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,5",,"97,3",,"83,2",,1,
RE02093itkt,2797786,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48606,gnpis_pui:holding-921_taxon-4898_accession-48606,RE02093,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,77",,"99,3",,"109,1",,1,
RE02093itkfi,2797785,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48606,gnpis_pui:holding-921_taxon-4898_accession-48606,RE02093,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,12",,"102,6",,"87,7",,1,
EM03017itkt,2797778,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48881,gnpis_pui:holding-921_taxon-4898_accession-48881,EM03017,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,14",,"96,3",,"105,8",,1,
DI04001itkfi,2797795,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48999,gnpis_pui:holding-921_taxon-4898_accession-48999,DI04001,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,2",,"101,6",,"86,9",,1,
RE03101itkfi,2797733,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,7",,"106,8",,"91,4",,1,
DI04002itkfi,2797797,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48882,gnpis_pui:holding-921_taxon-4898_accession-48882,DI04002,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,93",,"102,9",,88,,1,
EM01058.3itkfi,2797771,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49582,gnpis_pui:holding-921_taxon-4898_accession-49582,EM01058.3,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,09",,"93,1",,"79,6",,1,
EM01105.1itkt,2797774,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48967,gnpis_pui:holding-921_taxon-4898_accession-48967,EM01105.1,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,64",,"89,4",,"98,3",,1,
EM01105.1itkfi,2797773,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48967,gnpis_pui:holding-921_taxon-4898_accession-48967,EM01105.1,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,76",,"99,7",,"85,3",,1,
DI04002itkt,2797798,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48882,gnpis_pui:holding-921_taxon-4898_accession-48882,DI04002,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,58",,"98,5",,"108,3",,1,
